回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2025-03-01,2026-02-28,12.0,3.0,10,25.0,575124.26,57.51,734,30.79
2025-03-01,2026-02-28,10.0,3.0,7,20.0,574219.45,57.42,869,36.48
2025-03-01,2026-02-28,13.0,7.0,10,20.0,573419.59,57.34,707,37.06
2025-03-01,2026-02-28,10.0,4.0,10,25.0,572684.59,57.27,723,34.16
2025-03-01,2026-02-28,11.0,3.0,5,20.0,572527.82,57.25,912,37.72
2025-03-01,2026-02-28,11.0,4.0,8,25.0,569755.26,56.98,787,36.72
2025-03-01,2026-02-28,15.0,3.0,8,25.0,566099.39,56.61,684,34.36
2025-03-01,2026-02-28,12.0,6.0,10,25.0,565446.1,56.54,659,36.42
2025-03-01,2026-02-28,11.0,3.0,9,25.0,565294.81,56.53,735,31.97
2025-03-01,2026-02-28,13.0,7.0,8,25.0,564342.46,56.43,643,39.97
2025-03-01,2026-02-28,8.0,4.0,10,25.0,563757.74,56.38,769,37.71
2025-03-01,2026-02-28,15.0,6.0,7,25.0,563056.11,56.31,654,40.21
2025-03-01,2026-02-28,15.0,4.0,7,20.0,561865.71,56.19,753,37.85
2025-03-01,2026-02-28,13.0,4.0,10,20.0,561212.97,56.12,768,32.81
2025-03-01,2026-02-28,15.0,4.0,7,25.0,560046.06,56.0,675,38.37
2025-03-01,2026-02-28,12.0,7.0,10,25.0,557882.87,55.79,644,40.53
2025-03-01,2026-02-28,9.0,3.0,10,25.0,556361.06,55.64,791,33.75
2025-03-01,2026-02-28,11.0,8.0,8,25.0,555842.37,55.58,683,41.14
2025-03-01,2026-02-28,9.0,3.0,8,25.0,555069.85,55.51,779,35.17
2025-03-01,2026-02-28,11.0,8.0,10,20.0,554631.69,55.46,656,39.94
2025-03-01,2026-02-28,14.0,3.0,5,20.0,553040.8,55.3,884,38.46
2025-03-01,2026-02-28,15.0,8.0,8,25.0,551467.29,55.15,656,41.01
2025-03-01,2026-02-28,9.0,3.0,7,20.0,546604.46,54.66,783,36.4
2025-03-01,2026-02-28,11.0,3.0,9,20.0,543509.05,54.35,741,31.85
