Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2026-01-29,002938,SELL,900,56.7,51030.0,-3411.0,-6.27,策略S点(破均线),51974.73
2026-01-29,002436,SELL,900,23.58,21222.0,-576.0,-2.64,超时强平(8天),73196.73
2026-01-29,300088,SELL,300,6.5,1950.0,-162.0,-7.67,策略S点(破均线),75146.73
2026-01-29,600166,SELL,1700,3.1,5270.0,85.0,1.64,超时强平(8天),80416.73
2026-01-29,002466,SELL,500,59.12,29560.0,-1155.0,-3.76,策略S点(破均线),109976.73
2026-01-30,688521,BUY,400,222.01,88804.0,0.0,0.0,主升浪启动,21172.73
2026-01-30,000960,SELL,2200,42.0,92400.0,-10450.0,-10.16,止损,113572.73
2026-01-30,300223,BUY,700,143.8,100660.0,0.0,0.0,主升浪启动,12912.73
2026-01-30,600499,BUY,700,17.69,12383.0,0.0,0.0,主升浪启动,529.73
2026-01-30,600482,SELL,6600,26.08,172128.0,-7260.0,-4.05,策略S点(破均线),172657.73
2026-01-30,000629,SELL,6300,3.83,24129.0,-3150.0,-11.55,策略S点(破均线),196786.73
2026-01-30,300251,BUY,10000,19.56,195600.0,0.0,0.0,主升浪启动,1186.73
2026-01-30,000830,SELL,9800,19.55,191590.0,-6664.0,-3.36,策略S点(破均线),192776.73
2026-01-30,002266,SELL,700,4.86,3402.0,-168.0,-4.71,策略S点(破均线),196178.73
2026-01-30,000998,BUY,18600,10.51,195486.0,0.0,0.0,主升浪启动,692.73
2026-01-30,603077,SELL,300,2.53,759.0,-21.0,-2.69,策略S点(破均线),1451.73
2026-01-30,603799,SELL,200,72.0,14400.0,-1752.0,-10.85,策略S点(破均线),15851.73
2026-02-02,688521,SELL,400,207.85,83140.0,-5664.0,-6.38,策略S点(破均线),98991.73
2026-02-02,300757,SELL,300,354.0,106200.0,5700.0,5.67,超时强平(8天),205191.73
2026-02-02,002851,SELL,1500,120.99,181485.0,-8265.0,-4.36,策略S点(破均线),386676.73
2026-02-02,000338,SELL,100,22.57,2257.0,-93.0,-3.96,策略S点(破均线),388933.73
2026-02-02,300316,BUY,4200,46.93,197106.0,0.0,0.0,主升浪启动,191827.73
2026-02-02,603806,SELL,500,17.2,8600.0,-770.0,-8.22,止损,200427.73
2026-02-02,600219,SELL,3700,6.61,24457.0,-2701.0,-9.95,止损,224884.73
2026-02-02,002271,SELL,400,16.25,6500.0,-304.0,-4.47,策略S点(破均线),231384.73
2026-02-02,600176,SELL,200,20.15,4030.0,-222.0,-5.22,策略S点(破均线),235414.73
2026-02-02,002938,BUY,3400,58.79,199886.0,0.0,0.0,主升浪启动,35528.73
2026-02-02,300223,SELL,700,127.89,89523.0,-11137.0,-11.06,策略S点(破均线),125051.73
2026-02-02,002318,SELL,100,31.68,3168.0,-132.0,-4.0,策略S点(破均线),128219.73
2026-02-02,601808,SELL,600,15.46,9276.0,-540.0,-5.5,策略S点(破均线),137495.73
2026-02-02,600256,SELL,6300,5.28,33264.0,-2646.0,-7.37,策略S点(破均线),170759.73
2026-02-02,002572,SELL,12900,14.34,184986.0,-9804.0,-5.03,策略S点(破均线),355745.73
2026-02-02,600096,SELL,100,35.04,3504.0,-485.0,-12.16,策略S点(破均线),359249.73
2026-02-02,000069,SELL,100,2.59,259.0,-18.0,-6.5,策略S点(破均线),359508.73
2026-02-02,001914,SELL,100,11.3,1130.0,-84.0,-6.92,策略S点(破均线),360638.73
2026-02-03,688777,BUY,2000,92.0,184000.0,0.0,0.0,主升浪启动,176638.73
2026-02-03,300751,BUY,500,335.0,167500.0,0.0,0.0,主升浪启动,9138.73
2026-02-03,000630,BUY,1100,7.84,8624.0,0.0,0.0,主升浪启动,514.73
2026-02-03,600352,SELL,12900,13.97,180213.0,-19350.0,-9.7,止损,180727.73
2026-02-03,688223,BUY,25800,7.0,180600.0,0.0,0.0,主升浪启动,127.73
2026-02-03,000878,SELL,1000,22.88,22880.0,-2270.0,-9.03,止损,23007.73
2026-02-03,600497,SELL,100,9.0,900.0,-160.0,-15.09,止损,23907.73
2026-02-03,601168,SELL,5200,31.98,166295.04,-30901.17,-15.67,止损,190202.77
2026-02-03,002244,BUY,16500,11.5,189750.0,0.0,0.0,主升浪启动,452.77
2026-02-03,600362,SELL,100,55.0,5500.0,-1547.0,-21.95,止损,5952.77
2026-02-03,601600,SELL,100,13.1,1310.0,-260.0,-16.56,止损,7262.77
2026-02-04,300316,SELL,4200,55.07,231294.0,34188.0,17.34,止盈,238556.77
2026-02-04,300316,BUY,3200,62.21,199072.0,0.0,0.0,主升浪启动,39484.77
2026-02-04,300017,SELL,100,18.53,1853.0,294.0,18.86,止盈,41337.77
2026-02-04,300118,BUY,1700,24.0,40800.0,0.0,0.0,主升浪启动,537.77
2026-02-04,300058,SELL,400,21.5,8600.0,-760.0,-8.12,止损,9137.77
2026-02-04,002271,BUY,500,18.26,9130.0,0.0,0.0,主升浪启动,7.77
2026-02-04,000630,SELL,1100,7.66,8426.0,-198.0,-2.3,策略S点(破均线),8433.77
2026-02-04,600316,BUY,100,44.96,4496.0,0.0,0.0,主升浪启动,3937.77
2026-02-04,600176,BUY,100,21.93,2193.0,0.0,0.0,主升浪启动,1744.77
2026-02-04,001979,BUY,100,10.87,1087.0,0.0,0.0,主升浪启动,657.77
2026-02-04,002648,SELL,1400,22.67,31738.0,686.0,2.21,超时强平(8天),32395.77
2026-02-04,603833,BUY,500,61.42,30710.0,0.0,0.0,主升浪启动,1685.77
2026-02-04,600667,SELL,400,9.85,3940.0,0.0,0.0,策略S点(破均线),5625.77
2026-02-04,000415,BUY,1200,4.61,5532.0,0.0,0.0,主升浪启动,93.77
2026-02-04,600392,SELL,3300,25.93,85569.0,2508.0,3.02,超时强平(8天),85662.77
2026-02-04,603939,BUY,3400,24.76,84184.0,0.0,0.0,主升浪启动,1478.77
2026-02-04,300383,SELL,10900,15.0,163500.0,-6976.0,-4.09,策略S点(破均线),164978.77
2026-02-05,300017,BUY,9100,17.97,163527.0,0.0,0.0,主升浪启动,1451.77
2026-02-05,300316,SELL,3200,57.55,184160.0,-14912.0,-7.49,止损,185611.77
