回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2022-03-01,2023-02-28,12.0,7.0,15,20.0,-335962.64,-33.6,379,27.18
2022-03-01,2023-02-28,12.0,9.0,9,20.0,-336320.37,-33.63,371,29.65
2022-03-01,2023-02-28,15.0,5.0,9,20.0,-336389.7,-33.64,390,27.18
2022-03-01,2023-02-28,10.0,3.0,9,20.0,-336505.16,-33.65,488,26.02
2022-03-01,2023-02-28,12.0,10.0,9,20.0,-336759.25,-33.68,371,31.0
2022-03-01,2023-02-28,12.0,9.0,7,25.0,-336942.24,-33.69,372,33.06
2022-03-01,2023-02-28,13.0,10.0,12,20.0,-337959.54,-33.8,343,28.57
2022-03-01,2023-02-28,11.0,10.0,12,25.0,-338396.32,-33.84,370,30.81
2022-03-01,2023-02-28,9.0,10.0,8,20.0,-338584.29,-33.86,442,31.22
2022-03-01,2023-02-28,11.0,6.0,8,20.0,-339559.66,-33.96,448,30.13
2022-03-01,2023-02-28,10.0,7.0,15,20.0,-340667.43,-34.07,375,26.93
2022-03-01,2023-02-28,9.0,6.0,8,20.0,-340778.07,-34.08,458,32.1
2022-03-01,2023-02-28,12.0,8.0,7,25.0,-340757.7,-34.08,381,33.6
2022-03-01,2023-02-28,14.0,8.0,13,25.0,-340888.31,-34.09,369,27.91
2022-03-01,2023-02-28,8.0,10.0,9,25.0,-341188.97,-34.12,388,33.51
2022-03-01,2023-02-28,11.0,10.0,14,25.0,-341394.99,-34.14,353,30.03
2022-03-01,2023-02-28,11.0,7.0,11,25.0,-341458.83,-34.15,375,29.33
2022-03-01,2023-02-28,9.0,9.0,8,20.0,-341927.85,-34.19,449,32.07
2022-03-01,2023-02-28,8.0,6.0,9,20.0,-342060.92,-34.21,422,31.99
2022-03-01,2023-02-28,5.0,10.0,6,25.0,-342427.69,-34.24,479,40.71
2022-03-01,2023-02-28,6.0,7.0,5,25.0,-342661.74,-34.27,507,41.03
2022-03-01,2023-02-28,13.0,10.0,7,25.0,-343500.19,-34.35,369,31.71
2022-03-01,2023-02-28,13.0,9.0,8,20.0,-344075.54,-34.41,394,32.74
2022-03-01,2023-02-28,11.0,7.0,8,20.0,-344193.65,-34.42,409,29.83
2022-03-01,2023-02-28,9.0,9.0,13,25.0,-344653.27,-34.47,404,30.94
2022-03-01,2023-02-28,10.0,5.0,9,20.0,-345138.0,-34.51,418,29.67
2022-03-01,2023-02-28,11.0,7.0,12,20.0,-345288.62,-34.53,394,29.7
2022-03-01,2023-02-28,11.0,9.0,8,25.0,-345618.92,-34.56,400,32.25
2022-03-01,2023-02-28,5.0,3.0,15,20.0,-346004.34,-34.6,513,30.6
2022-03-01,2023-02-28,6.0,3.0,13,20.0,-346561.27,-34.66,495,29.49
2022-03-01,2023-02-28,9.0,10.0,7,20.0,-346751.75,-34.68,413,35.59
2022-03-01,2023-02-28,10.0,3.0,15,20.0,-347269.65,-34.73,473,23.68
2022-03-01,2023-02-28,9.0,7.0,11,20.0,-348064.24,-34.81,392,28.83
2022-03-01,2023-02-28,11.0,6.0,12,20.0,-348155.9,-34.82,394,28.17
2022-03-01,2023-02-28,9.0,9.0,12,20.0,-348775.34,-34.88,412,31.8
2022-03-01,2023-02-28,15.0,7.0,6,20.0,-348880.09,-34.89,450,34.67
2022-03-01,2023-02-28,8.0,8.0,8,25.0,-349328.82,-34.93,424,34.43
2022-03-01,2023-02-28,12.0,8.0,15,20.0,-349610.26,-34.96,371,28.84
2022-03-01,2023-02-28,6.0,7.0,5,20.0,-350136.15,-35.01,522,40.42
2022-03-01,2023-02-28,9.0,3.0,6,20.0,-350674.17,-35.07,464,29.96
2022-03-01,2023-02-28,6.0,4.0,5,25.0,-351136.0,-35.11,532,36.84
2022-03-01,2023-02-28,6.0,4.0,5,20.0,-351112.2,-35.11,560,38.04
2022-03-01,2023-02-28,10.0,8.0,9,25.0,-351188.04,-35.12,375,34.13
2022-03-01,2023-02-28,9.0,6.0,11,20.0,-351452.15,-35.15,414,29.23
2022-03-01,2023-02-28,11.0,10.0,15,25.0,-351521.2,-35.15,366,27.87
2022-03-01,2023-02-28,12.0,7.0,12,20.0,-352121.87,-35.21,373,28.95
2022-03-01,2023-02-28,9.0,3.0,15,20.0,-352564.14,-35.26,459,24.62
2022-03-01,2023-02-28,9.0,6.0,9,25.0,-353023.79,-35.3,411,30.9
2022-03-01,2023-02-28,15.0,3.0,9,20.0,-353065.35,-35.31,455,24.62
2022-03-01,2023-02-28,11.0,10.0,7,20.0,-353444.99,-35.34,404,34.16
2022-03-01,2023-02-28,11.0,9.0,13,25.0,-353556.87,-35.36,369,29.27
2022-03-01,2023-02-28,6.0,3.0,12,20.0,-354522.84,-35.45,496,28.83
2022-03-01,2023-02-28,10.0,10.0,9,25.0,-354909.68,-35.49,388,32.99
2022-03-01,2023-02-28,8.0,9.0,9,20.0,-355285.24,-35.53,441,32.43
2022-03-01,2023-02-28,12.0,8.0,11,25.0,-355618.84,-35.56,358,29.89
2022-03-01,2023-02-28,11.0,10.0,13,25.0,-355845.48,-35.58,371,30.73
2022-03-01,2023-02-28,9.0,7.0,13,20.0,-355960.97,-35.6,410,30.0
2022-03-01,2023-02-28,9.0,3.0,10,20.0,-357302.16,-35.73,491,24.85
2022-03-01,2023-02-28,8.0,9.0,9,25.0,-357600.34,-35.76,425,34.12
2022-03-01,2023-02-28,9.0,3.0,9,20.0,-357840.68,-35.78,485,25.98
2022-03-01,2023-02-28,9.0,8.0,12,25.0,-357756.74,-35.78,400,31.5
2022-03-01,2023-02-28,9.0,3.0,8,20.0,-357903.26,-35.79,438,26.26
2022-03-01,2023-02-28,8.0,6.0,8,20.0,-358180.25,-35.82,426,34.27
2022-03-01,2023-02-28,11.0,8.0,8,25.0,-358256.7,-35.83,409,31.78
2022-03-01,2023-02-28,10.0,9.0,11,20.0,-358656.26,-35.87,369,29.0
2022-03-01,2023-02-28,12.0,9.0,14,20.0,-359037.48,-35.9,367,27.79
2022-03-01,2023-02-28,15.0,10.0,7,20.0,-359254.42,-35.93,344,30.81
