Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2025-12-31,600115,BUY,100,6.0,600.0,0.0,0.0,主升浪启动,143.79
2026-01-05,300136,SELL,3900,62.0,241800.0,44070.0,22.29,止盈,241943.79
2026-01-05,300136,BUY,3000,65.61,196830.0,0.0,0.0,主升浪启动,45113.79
2026-01-05,601698,SELL,100,36.66,3666.0,418.0,12.87,止盈,48779.79
2026-01-05,600498,SELL,6700,33.81,226527.0,29212.0,14.8,止盈,275306.79
2026-01-05,300567,BUY,2100,95.02,199542.0,0.0,0.0,主升浪启动,75764.79
2026-01-05,002738,BUY,900,84.13,75717.0,0.0,0.0,主升浪启动,47.79
2026-01-05,601899,SELL,6100,35.4,215940.0,17507.0,8.82,超时强平(8天),215987.79
2026-01-05,300442,BUY,3500,55.99,195965.0,0.0,0.0,主升浪启动,20022.79
2026-01-05,601688,BUY,800,24.35,19480.0,0.0,0.0,主升浪启动,542.79
2026-01-06,000301,SELL,200,10.67,2134.0,-140.0,-6.16,止损,2676.79
2026-01-06,600219,SELL,38500,5.67,218295.0,25025.0,12.95,超时强平(8天),220971.79
2026-01-06,600219,BUY,35200,5.67,199584.0,0.0,0.0,主升浪启动,21387.79
2026-01-06,601319,BUY,2100,9.8,20580.0,0.0,0.0,主升浪启动,807.79
2026-01-07,300136,SELL,3000,62.34,187020.0,-9810.0,-4.98,止损,187827.79
2026-01-07,300118,BUY,11500,16.3,187450.0,0.0,0.0,主升浪启动,377.79
2026-01-07,002532,SELL,1400,18.19,25464.53,3828.73,17.7,止盈,25842.32
2026-01-07,300223,SELL,200,131.0,26200.0,4762.0,22.21,止盈,52042.32
2026-01-07,002851,BUY,500,99.58,49790.0,0.0,0.0,主升浪启动,2252.32
2026-01-07,600352,BUY,100,11.51,1151.0,0.0,0.0,主升浪启动,1101.32
2026-01-08,300567,SELL,2100,109.11,229131.0,29589.0,14.83,止盈,230232.32
2026-01-08,300604,SELL,100,124.99,12499.0,1874.0,17.64,止盈,242731.32
2026-01-08,300751,BUY,900,212.8,191520.0,0.0,0.0,主升浪启动,51211.32
2026-01-08,300699,BUY,1200,41.03,49236.0,0.0,0.0,主升浪启动,1975.32
2026-01-08,601233,SELL,1500,18.08,27120.0,1830.0,7.24,超时强平(8天),29095.32
2026-01-08,600862,BUY,1100,26.01,28611.0,0.0,0.0,主升浪启动,484.32
2026-01-08,600765,SELL,5400,20.03,108162.0,8370.0,8.39,超时强平(8天),108646.32
2026-01-08,600765,BUY,5400,20.03,108162.0,0.0,0.0,主升浪启动,484.32
2026-01-08,601688,SELL,800,23.95,19160.0,-320.0,-1.64,策略S点(破均线),19644.32
2026-01-09,600498,BUY,500,38.93,19465.0,0.0,0.0,主升浪启动,179.32
2026-01-09,002738,SELL,900,80.58,72522.0,-3195.0,-4.22,止损,72701.32
2026-01-09,002624,BUY,4100,17.55,71955.0,0.0,0.0,主升浪启动,746.32
2026-01-12,300442,SELL,3500,73.01,255535.0,59570.0,30.4,止盈,256281.32
2026-01-12,688122,BUY,1800,106.21,191178.0,0.0,0.0,主升浪启动,65103.32
2026-01-12,300285,BUY,1700,36.26,61642.0,0.0,0.0,主升浪启动,3461.32
2026-01-12,002555,BUY,100,29.76,2976.0,0.0,0.0,主升浪启动,485.32
2026-01-12,002607,BUY,100,2.99,299.0,0.0,0.0,主升浪启动,186.32
2026-01-13,600498,SELL,500,47.1,23550.0,4085.0,20.99,止盈,23736.32
2026-01-13,300118,SELL,11500,18.37,211255.0,23805.0,12.7,止盈,234991.32
2026-01-13,601179,BUY,16100,12.4,199640.0,0.0,0.0,主升浪启动,35351.32
2026-01-13,002738,BUY,300,89.33,26799.0,0.0,0.0,主升浪启动,8552.32
2026-01-13,601872,BUY,700,11.21,7847.0,0.0,0.0,主升浪启动,705.32
2026-01-13,688002,SELL,200,112.29,22458.0,2928.0,14.99,止盈,23163.32
2026-01-13,600141,BUY,600,38.4,23040.0,0.0,0.0,主升浪启动,123.32
2026-01-13,300285,SELL,1700,34.55,58735.0,-2907.0,-4.72,止损,58858.32
2026-01-13,600765,SELL,5400,19.13,103302.0,-4860.0,-4.49,策略S点(破均线),162160.32
2026-01-13,601628,BUY,3100,51.03,158193.0,0.0,0.0,主升浪启动,3967.32
2026-01-13,000975,BUY,100,26.97,2697.0,0.0,0.0,主升浪启动,1270.32
2026-01-14,000878,SELL,100,22.87,2287.0,236.0,11.51,超时强平(8天),3557.32
2026-01-14,000878,BUY,100,22.87,2287.0,0.0,0.0,主升浪启动,1270.32
2026-01-14,688122,SELL,1800,94.6,170280.0,-20898.0,-10.93,止损,171550.32
2026-01-14,002738,SELL,300,83.0,24900.0,-1899.0,-7.09,策略S点(破均线),196450.32
2026-01-14,002223,BUY,4300,45.4,195220.0,0.0,0.0,主升浪启动,1230.32
2026-01-14,000807,SELL,6000,32.69,196140.0,-900.0,-0.46,超时强平(8天),197370.32
2026-01-14,600765,BUY,9700,20.25,196425.0,0.0,0.0,主升浪启动,945.32
2026-01-14,000725,BUY,200,4.6,920.0,0.0,0.0,主升浪启动,25.32
2026-01-14,600115,SELL,100,5.85,585.0,-15.0,-2.5,超时强平(8天),610.32
2026-01-14,002318,SELL,6000,29.55,177300.0,3600.0,2.07,超时强平(8天),177910.32
2026-01-14,000100,BUY,35800,4.96,177568.0,0.0,0.0,主升浪启动,342.32
2026-01-14,601319,SELL,2100,9.6,20160.0,-420.0,-2.04,策略S点(破均线),20502.32
2026-01-14,600352,SELL,100,11.08,1108.0,-43.0,-3.74,策略S点(破均线),21610.32
2026-01-15,002131,BUY,2000,10.4,20800.0,0.0,0.0,主升浪启动,810.32
2026-01-15,300699,SELL,1200,39.32,47184.0,-2052.0,-4.17,策略S点(破均线),47994.32
2026-01-15,000933,BUY,1500,31.49,47235.0,0.0,0.0,主升浪启动,759.32
2026-01-15,600862,SELL,1100,24.74,27214.0,-1397.0,-4.88,策略S点(破均线),27973.32
2026-01-15,300124,BUY,300,80.84,24252.0,0.0,0.0,主升浪启动,3721.32
2026-01-15,000683,BUY,400,7.78,3112.0,0.0,0.0,主升浪启动,609.32
2026-01-15,601628,SELL,3100,48.83,151373.0,-6820.0,-4.31,策略S点(破均线),151982.32
2026-01-16,300567,BUY,1100,135.9,149490.0,0.0,0.0,主升浪启动,2492.32
2026-01-16,601179,SELL,16100,14.5,233450.0,33810.0,16.94,止盈,235942.32
2026-01-16,002414,BUY,11100,17.97,199467.0,0.0,0.0,主升浪启动,36475.32
2026-01-16,002409,BUY,300,96.51,28953.0,0.0,0.0,主升浪启动,7522.32
2026-01-16,600549,BUY,100,53.84,5384.0,0.0,0.0,主升浪启动,2138.32
2026-01-16,600219,SELL,35200,5.96,209792.0,10208.0,5.11,超时强平(8天),211930.32
2026-01-16,002555,SELL,100,27.8,2780.0,-196.0,-6.59,策略S点(破均线),214710.32
2026-01-16,002008,BUY,4200,47.16,198072.0,0.0,0.0,主升浪启动,16638.32
